hit_cnt,sip_cnt,dip,dport,proto,inif,outif,src_ip
19,6,2185951780,80,6,proxy8,proxy9,1191291072;671197376;660973760;654420160;620865728;335653056
19,5,610716271,80,6,proxy8,proxy9,1191291072;1073850560;620865728;553756864;520202432
19,2,814976182,80,6,proxy8,proxy9,654420160;536979648
19,1,1736613843,80,6,proxy8,proxy9,1124182208
18,2,2097936954,8000,17,proxy8,proxy9,671197376;520202432
18,2,3825384567,80,17,proxy8,proxy9,671197376;553756864
18,1,1698287215,80,6,proxy8,proxy9,1191291072
18,1,3121481391,80,6,proxy8,proxy9,660973760
18,1,3075453347,80,6,proxy8,proxy9,1124182208
18,1,2414138215,80,6,proxy8,proxy9,654420160
17,2,3166562624,5228,6,proxy8,proxy9,660973760;654420160
17,2,2062827323,80,6,proxy8,proxy9,654420160;536979648
17,1,3188176348,443,6,proxy8,proxy9,660973760
17,1,1709508215,80,6,proxy8,proxy9,660973760
17,1,1317421181,80,6,proxy8,proxy9,654420160
17,1,45197504,53,17,proxy8,proxy9,654420160
16,2,3166562624,443,6,proxy8,proxy9,660973760;654420160
16,2,1851976746,80,6,proxy8,proxy9,704751808;687974592
16,2,66788874,7273,17,proxy8,proxy9,1193152684;1191291072
16,2,66788874,7274,17,proxy8,proxy9,1193152684;1191291072
16,2,66788874,7275,17,proxy8,proxy9,1193152684;1191291072
16,2,66788874,7276,17,proxy8,proxy9,1193152684;1191291072
16,2,66788874,7277,17,proxy8,proxy9,1193152684;1191291072
16,2,66788874,7278,17,proxy8,proxy9,1193152684;1191291072
16,2,66788874,7279,17,proxy8,proxy9,1193152684;1191291072
16,2,66788874,7280,17,proxy8,proxy9,1193152684;1191291072
16,2,66788874,7281,17,proxy8,proxy9,1193152684;1191291072
16,2,66788874,7282,17,proxy8,proxy9,1193152684;1191291072
16,1,3298521458,80,6,proxy8,proxy9,660973760
16,1,1613700471,80,6,proxy8,proxy9,1124182208
15,5,1748205179,80,6,proxy8,proxy9,1191291072;1124182208;1073850560;620865728;553756864
15,4,3053693574,80,6,proxy8,proxy9,1191291072;660973760;654420160;520202432
15,4,1013238383,80,6,proxy8,proxy9,1124182208;620865728;553756864;520202432
15,4,946129519,80,6,proxy8,proxy9,1191291072;1124182208;620865728;553756864
15,3,3160519020,443,6,proxy8,proxy9,660973760;655075500;654420160
15,3,594770806,80,6,proxy8,proxy9,660973760;654420160;536979648
15,2,2938147703,8000,17,proxy8,proxy9,1073850560;335653056
15,1,1111084655,80,6,proxy8,proxy9,1191291072
15,1,2108262205,443,6,proxy8,proxy9,553756864
15,1,1075063727,80,6,proxy8,proxy9,660973760
15,1,815844965,80,6,proxy8,proxy9,660973760
15,1,381197117,12020,6,proxy8,proxy9,660973760
15,1,333019765,80,6,proxy8,proxy9,553756864
15,1,589668732,80,6,proxy8,proxy9,1124182208
15,1,3197223883,80,6,proxy8,proxy9,1124182208
15,1,1161416303,53,17,proxy8,proxy9,637642944
15,1,244311233,123,17,proxy8,proxy9,2634131648
14,5,703997802,80,6,proxy8,proxy9,704751808;687974592;660973760;654420160;536979648
14,4,3619522365,80,6,proxy8,proxy9,1124182208;1073850560;620865728;553756864
14,3,36882277,80,6,proxy8,proxy9,1191291072;671197376;553756864
14,3,3986216718,8000,17,proxy8,proxy9,704751808;671197376;620865728
14,2,2394659503,80,6,proxy8,proxy9,660973760;654420160
14,1,2534821947,80,6,proxy8,proxy9,660973760
14,1,768768886,80,6,proxy8,proxy9,660973760
14,1,1471503542,80,6,proxy8,proxy9,660973760
14,1,1010387422,80,6,proxy8,proxy9,660973760
14,1,363243487,80,6,proxy8,proxy9,520202432
14,1,2665008763,123,17,proxy8,proxy9,2634131648
14,1,412083393,123,17,proxy8,proxy9,2634131648
13,2,1051109343,443,6,proxy8,proxy9,704751808;553756864
13,2,792907375,80,6,proxy8,proxy9,1191291072;520202432
13,1,1198693851,80,6,proxy8,proxy9,660973760
13,1,874395707,80,6,proxy8,proxy9,660973760
13,1,2340188955,80,6,proxy8,proxy9,671197376
13,1,140332557,443,6,proxy8,proxy9,687974592
13,1,1588520244,443,6,proxy8,proxy9,687974592
13,1,2200490187,443,6,proxy8,proxy9,520202432
13,1,16885952,53,17,proxy8,local,1124182208
12,6,25929920,2492,6,proxy8,proxy9,1191291072;671197376;660973760;654420160;553756864;536979648
12,6,18720960,2492,6,proxy8,proxy9,1191291072;671197376;660973760;654420160;553756864;536979648
