hit_cnt,sip_cnt,dip_cnt,dip,dport,proto,inif,outif,src_ip
4,2,1,3250166589,8099,6,proxy8;,proxy9;,660973760;655075500
4,2,2,1099755581;881651773,80,6,proxy8;,proxy9;,1191291072;553756864
4,2,2,53659493;1044114474,80,6,proxy8;,proxy9;,553756864;520202432
4,2,1,3569971250,443,6,proxy8;,proxy9;,1191291072;687974592
4,1,1,1829080954,1122,6,proxy8;,proxy9;,520202432
4,1,2,470486649;2802519673,8091,6,proxy8;,proxy9;,1124182208
4,1,1,2412841337,8000,17,proxy8;,proxy9;,660973760
4,1,1,1546731050,8088,17,proxy8;,proxy9;,620865728
4,1,1,1208696362,6612,17,proxy8;,proxy9;,620865728
4,1,1,1208696362,6613,17,proxy8;,proxy9;,620865728
4,1,1,2500353793,50951,17,proxy8;,proxy9;,620865728
3,3,1,942264523,443,6,proxy8;,proxy9;,671197376;620865728;335653056
3,3,1,975950027,80,6,proxy8;,proxy9;,620865728;553756864;335653056
3,3,1,774608763,8000,17,proxy8;,proxy9;,704751808;620865728;335653056
3,2,1,1647038667,443,6,proxy8;,proxy9;,660973760;520202432
3,2,1,4002439215,22,6,proxy8;,proxy9;,536979648;520202432
3,2,1,1227608267,443,6,proxy8;,proxy9;,620865728;520202432
3,2,1,3894923467,443,6,proxy8;,proxy9;,620865728;536979648
3,2,1,721156874,67,17,proxy8;,proxy9;,2634131648;2181146816
3,2,1,100983397,53,17,proxy8;,proxy9;,2919344320;2634131648
3,1,1,1661118656,6687,6,proxy9;,local;,3104025222
3,1,1,1208696362,6610,17,proxy8;,proxy9;,620865728
3,1,1,1208696362,6611,17,proxy8;,proxy9;,620865728
3,1,1,1208696362,6614,17,proxy8;,proxy9;,620865728
3,1,1,1208696362,6616,17,proxy8;,proxy9;,620865728
3,1,1,1208696362,6617,17,proxy8;,proxy9;,620865728
3,1,1,1431424270,3847,17,proxy8;,proxy9;,620865728
3,1,1,942235770,12274,17,proxy8;,proxy9;,620865728
3,1,1,1695053995,9238,17,proxy8;,proxy9;,620865728
3,1,1,2545457981,5958,6,proxy8;,proxy9;,654420160
2,2,1,3104025222,443,6,proxy8;,proxy9;,660973760;570534080
2,2,1,2528680765,5958,6,proxy8;,proxy9;,660973760;654420160
2,2,1,3036916358,443,6,proxy8;,proxy9;,660973760;536979648
2,2,1,2459412191,443,6,proxy8;,proxy9;,671197376;520202432
2,2,1,2805548342,443,6,proxy8;,proxy9;,687974592;671197376
2,2,1,3394067056,80,6,proxy8;,proxy9;,1124182208;520202432
2,2,1,2565022516,443,6,proxy8;,proxy9;,1191291072;536979648
2,2,1,2936253062,80,6,proxy8;,proxy9;,704751808;570534080
2,2,1,1093390539,443,17,proxy8;,proxy9;,1073850560;335653056
2,1,1,1661118656,5797,6,proxy9;,local;,3087248006
2,1,1,1661118656,6776,6,proxy9;,local;,3104025222
2,1,1,1661118656,6815,6,proxy9;,local;,3053693574
2,1,1,1191291072,2492,6,proxy9;,proxy8;,3053693574
2,1,1,3285084378,0,1,proxy8;,proxy9;,520202432
2,1,1,1824997488,3478,17,proxy8;,proxy9;,553756864
2,1,1,3471080053,22,6,proxy8;,proxy9;,536979648
2,1,1,16981770,8443,6,proxy8;,proxy9;,660973760
2,1,1,1857657661,8099,6,proxy8;,proxy9;,660973760
2,1,1,3525940087,12180,6,proxy8;,proxy9;,660973760
2,1,1,3117426073,81,6,proxy8;,proxy9;,660973760
2,1,1,3516976780,12000,6,proxy8;,proxy9;,671197376
2,1,1,67240450,9001,17,proxy8;,proxy9;,671197376
2,1,1,2996173626,8414,17,proxy8;,proxy9;,671197376
2,1,1,2593020528,8080,6,proxy8;,proxy9;,620865728
2,1,1,226167612,46593,17,proxy8;,proxy9;,620865728
2,1,1,1785347841,24600,17,proxy8;,proxy9;,620865728
2,1,1,3854264538,19236,17,proxy8;,proxy9;,620865728
2,1,1,2925218855,56655,17,proxy8;,proxy9;,620865728
2,1,1,1523459243,3072,17,proxy8;,proxy9;,620865728
2,1,1,4123145326,34128,17,proxy8;,proxy9;,620865728
2,1,1,104915595,43777,17,proxy8;,proxy9;,620865728
2,1,1,3391559482,18645,17,proxy8;,proxy9;,620865728
2,1,1,931351158,20489,17,proxy8;,proxy9;,620865728
2,1,1,3827699770,24352,17,proxy8;,proxy9;,620865728
2,1,1,2140767099,14818,17,proxy8;,proxy9;,620865728
2,1,1,3352499065,5196,17,proxy8;,proxy9;,620865728
2,1,1,2232800828,1113,17,proxy8;,proxy9;,620865728
2,1,1,684149605,25297,17,proxy8;,proxy9;,620865728
2,1,1,1208696362,6619,17,proxy8;,proxy9;,620865728
2,1,1,582103338,2036,17,proxy8;,proxy9;,620865728
2,1,1,570613872,52753,17,proxy8;,proxy9;,620865728
2,1,1,275800176,29741,17,proxy8;,proxy9;,620865728
2,1,1,2257392485,21146,17,proxy8;,proxy9;,620865728
2,1,1,160108152,18567,17,proxy8;,proxy9;,620865728
2,1,1,2671075696,3749,17,proxy8;,proxy9;,620865728
2,1,1,3372289501,40327,17,proxy8;,proxy9;,620865728
2,1,1,2824689016,2909,17,proxy8;,proxy9;,620865728
2,1,1,3470422644,36876,17,proxy8;,proxy9;,620865728
2,1,1,878776378,25815,17,proxy8;,proxy9;,620865728
2,1,1,2355781744,56036,17,proxy8;,proxy9;,620865728
2,1,1,1434327553,35593,17,proxy8;,proxy9;,620865728
2,1,1,3128713328,17270,17,proxy8;,proxy9;,620865728
2,1,1,1743539572,5740,17,proxy8;,proxy9;,620865728
2,1,1,2200533359,45267,17,proxy8;,proxy9;,620865728
2,1,1,2004033281,10370,17,proxy8;,proxy9;,620865728
2,1,1,3113619514,26228,17,proxy8;,proxy9;,620865728
2,1,1,620688186,26353,17,proxy8;,proxy9;,620865728
2,1,1,2100519280,24273,17,proxy8;,proxy9;,620865728
2,1,1,2381528691,6274,17,proxy8;,proxy9;,620865728
2,1,1,553756864,53168,6,proxy9;,proxy8;,984000479
2,1,1,1191291072,53083,6,proxy9;,proxy8;,933668831
2,1,1,3512480440,443,6,proxy8;,proxy9;,335653056
2,1,1,687974592,57881,6,proxy9;,proxy8;,2834211764
